idx,prompt,reference,lstm_generated,lora_generated
17,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(283), np.int64(4), np.int64(79), np.int64(736), np.int64(79), np.int64(326), np.int64(4), np.int64(61), np.int64(3031), np.int64(147), np.int64(127),","np.int64(243), np.int64(401), np.int64(4), np.int64(241), np.int64(21), np.int64(1256)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(283), np.int64(4), np.int64(79), np.int64(736), np.int64(79), np.int64(326), np.int64(4), np.int64(61), np.int64(3031), np.int64(147), np.int64(127), np.int64(4), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np"
18,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(410), np.int64(6), np.int64(4250),","np.int64(59), np.int64(7093), np.int64(10), np.int64(3453), np.int64(51), np.int64(397)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(410), np.int64(6), np.int64(4250), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np."
19,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2),","np.int64(411), np.int64(30), np.int64(139), np.int64(263), np.int64(2280), np.int64(295)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np"
20,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(30), np.int64(5), np.int64(25), np.int64(946)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
21,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3424), np.int64(39), np.int64(575),","np.int64(5), np.int64(63), np.int64(4958), np.int64(82), np.int64(4071), np.int64(48)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3424), np.int64(39), np.int64(575), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np."
22,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(194), np.int64(300), np.int64(2269), np.int64(58), np.int64(4311), np.int64(8), np.int64(461), np.int64(1220), np.int64(139),","np.int64(555), np.int64(51), np.int64(137), np.int64(61), np.int64(5), np.int64(40)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(194), np.int64(300), np.int64(2269), np.int64(58), np.int64(4311), np.int64(8), np.int64(461), np.int64(1220), np.int64(139), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(1),"
23,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(92), np.int64(1080), np.int64(30),","np.int64(273), np.int64(118), np.int64(59), np.int64(1139), np.int64(1421), np.int64(8)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(92), np.int64(1080), np.int64(30), np.int64(30), np.int64(7), np.int64(11), np.int64(11), np.int64(13), np.int64(16), np."
24,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(2), np.int64(473), np.int64(6), np.int64(30)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
25,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(266), np.int64(227), np.int64(3105), np.int64(130), np.int64(7830), np.int64(2606), np.int64(156), np.int64(127),","np.int64(359), np.int64(30), np.int64(800), np.int64(61), np.int64(3222), np.int64(6)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(266), np.int64(227), np.int64(3105), np.int64(130), np.int64(7830), np.int64(2606), np.int64(156), np.int64(127), np.int64(135), np.int64(120), np.int64(122), np.int64(122), np.int64(122), np.int64(112), np"
26,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(902),","np.int64(65), np.int64(7087), np.int64(94), np.int64(65), np.int64(265), np.int64(22)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(902), np.int64(7), np.int64(7), np.int64(7), np.int64(7), np.int64(7), np.int64(7), np"
27,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
28,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(241), np.int64(594), np.int64(30), np.int64(556), np.int64(3294), np.int64(108), np.int64(127), np.int64(301),","np.int64(174), np.int64(30), np.int64(1187), np.int64(332), np.int64(445), np.int64(61)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(241), np.int64(594), np.int64(30), np.int64(556), np.int64(3294), np.int64(108), np.int64(127), np.int64(301), np.int64(119), np.int64(119), np.int64(121), np.int64(122), np.int64(123), np.int64(124), np"
29,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
30,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(2), np.int64(208), np.int64(1117), np.int64(8), np.int64(167), np.int64(30)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
31,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(519), np.int64(8),","np.int64(30), np.int64(212), np.int64(1765), np.int64(7524), np.int64(8), np.int64(30)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(519), np.int64(8), np.int64(8), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np."
32,"[np.int64(108), np.int64(5), np.int64(40), np.int64(61), np.int64(6), np.int64(30), np.int64(691), np.int64(95), np.int64(59), np.int64(6513), np.int64(1423), np.int64(3484), np.int64(591), np.int64(30), np.int64(1130), np.int64(5), np.int64(41), np.int64(137),","np.int64(74), np.int64(2348), np.int64(55), np.int64(155), np.int64(561), np.int64(1553)]",,"[np.int64(108), np.int64(5), np.int64(40), np.int64(61), np.int64(6), np.int64(30), np.int64(691), np.int64(95), np.int64(59), np.int64(6513), np.int64(1423), np.int64(3484), np.int64(591), np.int64(30), np.int64(1130), np.int64(5), np.int64(41), np.int64(137), np.int64(48), np.int64(49), np.int64(42), np.int64(42), np.int64(12), np.int64(13), np."
33,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(265), np.int64(65), np.int64(685), np.int64(51)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
34,"[np.int64(0), np.int64(2), np.int64(411), np.int64(30), np.int64(218), np.int64(8), np.int64(30), np.int64(5), np.int64(34), np.int64(241), np.int64(697), np.int64(29), np.int64(937), np.int64(2831), np.int64(259), np.int64(187), np.int64(51), np.int64(453),","np.int64(64), np.int64(860), np.int64(8), np.int64(30), np.int64(5), np.int64(34)]",,"[np.int64(0), np.int64(2), np.int64(411), np.int64(30), np.int64(218), np.int64(8), np.int64(30), np.int64(5), np.int64(34), np.int64(241), np.int64(697), np.int64(29), np.int64(937), np.int64(2831), np.int64(259), np.int64(187), np.int64(51), np.int64(453), np.int64(190), np.int64(1), np.int64(937), np.int64(1), np.int64(5), np.int64(1"
35,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(266),","np.int64(1267), np.int64(6), np.int64(196), np.int64(95), np.int64(271), np.int64(5)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(266), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
36,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(370)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
37,"[np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3312), np.int64(6), np.int64(127), np.int64(71), np.int64(6), np.int64(1086), np.int64(92), np.int64(1873), np.int64(434), np.int64(4055), np.int64(8500), np.int64(6), np.int64(73), np.int64(3312),","np.int64(6), np.int64(688), np.int64(169), np.int64(30), np.int64(139), np.int64(79)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3312), np.int64(6), np.int64(127), np.int64(71), np.int64(6), np.int64(1086), np.int64(92), np.int64(1873), np.int64(434), np.int64(4055), np.int64(8500), np.int64(6), np.int64(73), np.int64(3312), np.int64(1455), np.int64(1935), np.int64(939), np.int64(1136), np.int64(0), np.int"
38,"[np.int64(0), np.int64(2), np.int64(411), np.int64(8), np.int64(71), np.int64(6058), np.int64(1103), np.int64(379), np.int64(6), np.int64(522), np.int64(3179), np.int64(116), np.int64(127), np.int64(373), np.int64(8), np.int64(1826), np.int64(40), np.int64(634),","np.int64(51), np.int64(137), np.int64(446), np.int64(51), np.int64(307), np.int64(333)]",,"[np.int64(0), np.int64(2), np.int64(411), np.int64(8), np.int64(71), np.int64(6058), np.int64(1103), np.int64(379), np.int64(6), np.int64(522), np.int64(3179), np.int64(116), np.int64(127), np.int64(373), np.int64(8), np.int64(1826), np.int64(40), np.int64(634), np.int64(4109), np.int64(1717), np.int64(1), np.int64(664), np.int64(907), np.int"
39,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(94), np.int64(1043), np.int64(3705), np.int64(786), np.int64(91), np.int64(22), np.int64(2170), np.int64(3837), np.int64(73), np.int64(4270),","np.int64(8), np.int64(108), np.int64(531), np.int64(102), np.int64(1180), np.int64(25)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(94), np.int64(1043), np.int64(3705), np.int64(786), np.int64(91), np.int64(22), np.int64(2170), np.int64(3837), np.int64(73), np.int64(4270), np.int64(817), np.int64(1), np.int64(3290), np.int64(1), np.int64(717), np.int64(2"
